Name	Control	Control	Control	Control	Control	Control	Control	patient	patient	patient	patient	patient	patient	patient	patient	patient	patient	patient	patient	patient	patient
MIB2	5.6079099999999995	5.486759999999999	5.4423900000000005	5.63925	5.486759999999999	5.65792	5.486759999999999	5.486759999999999	5.30679	5.743580000000001	5.442480000000001	6.08174	5.24811	4.97955	5.331	5.48084	5.364269999999999	5.486759999999999	5.49991	5.564830000000001	5.43838
MMP23B	4.93447	5.27435	4.965319999999999	5.25399	4.979830000000001	5.04357	5.02456	4.9427900000000005	4.67336	5.40238	5.03103	5.32975	4.84612	4.71199	4.96546	5.00809	4.92385	4.81479	4.91945	5.11195	4.979830000000001
CALML6	3.53904	3.41137	3.47695	3.3908300000000002	3.49451	3.75104	3.40887	3.48582	3.33816	4.05492	3.61614	3.7511300000000003	3.51136	3.16946	3.47665	3.1693700000000002	3.65496	3.48055	2.99562	3.64095	3.3713699999999998
GABRD	4.09362	4.42644	3.8837800000000002	4.307230000000001	4.16821	4.4181099999999995	4.25885	3.9079800000000002	4.22545	4.11322	4.525440000000001	4.26916	3.9540599999999997	3.79765	4.33035	4.29899	4.2691300000000005	4.29119	3.9216	4.25508	4.1536
PRKCZ	5.14655	5.23672	5.06053	5.17845	5.00584	5.02041	4.98837	4.801740000000001	5.33319	5.09687	5.02672	4.71606	5.017869999999999	4.96206	5.06388	4.89887	5.04761	4.9821	4.91651	4.9149400000000005	5.0061800000000005
C1orf86	3.9693699999999996	4.36075	4.52358	4.41237	4.34774	4.38962	4.15632	4.23915	4.13087	4.55207	4.5114	4.44072	4.3956	3.7039800000000005	4.3208	4.1752400000000005	4.43015	4.3208	3.9456800000000003	4.47058	4.39909
SKI	6.5803899999999995	6.37594	6.25734	6.33783	6.15603	6.26155	5.92591	5.563219999999999	6.02044	6.3304	6.1031699999999995	6.01543	6.09641	5.75356	5.903490000000001	6.02189	6.1952300000000005	6.24731	6.16706	5.9554800000000006	6.11408
MORN1	2.7960700000000003	3.32896	3.11647	3.3453	3.13147	3.6055699999999997	3.5195199999999995	3.33675	3.37625	3.6762099999999998	3.3532300000000004	3.27966	2.8035200000000002	3.01845	3.45876	3.27251	3.4367099999999997	3.4731	2.92063	2.83065	3.93229
RER1	7.49857	7.42397	7.357080000000001	7.38991	7.56107	7.422619999999999	7.31597	7.416519999999999	7.495489999999999	7.450139999999999	7.54219	7.48492	7.60073	7.668410000000001	7.5800399999999994	7.62409	7.57269	7.440519999999999	7.6347	7.4120800000000004	7.49857
PLCH2	5.34103	5.57282	5.36266	5.2706599999999995	5.41631	5.37863	5.3302	5.006480000000001	5.0758	5.2732	5.07123	5.14426	4.96457	4.92822	4.81883	5.19256	5.04628	5.27606	4.95263	5.13874	5.09497
FAM213B	5.78417	5.95587	5.79105	6.00042	6.06409	5.93343	5.91213	5.74011	5.7989999999999995	5.4970300000000005	5.843430000000001	5.7621	5.74984	5.2879	5.39636	5.60025	5.5588	5.73376	5.60262	5.475280000000001	5.60018
ACTRT2	4.28284	4.05053	3.9830300000000003	4.0845	3.83576	3.9775699999999996	4.21173	3.9350199999999997	3.9382599999999996	4.54558	3.8623199999999995	4.2304900000000005	4.25945	3.59962	3.9796300000000002	4.0555	3.9942699999999998	3.88065	4.08784	4.21851	4.13719
PRDM16	3.65113	4.107880000000001	3.74836	4.253340000000001	4.06345	3.85511	3.8132	3.8767199999999997	3.5450199999999996	4.09227	3.85511	4.09574	3.43106	3.40075	3.6368699999999996	3.85511	3.9207699999999996	3.70369	3.93833	3.94622	4.01994
ARHGEF16	3.7669900000000003	3.36551	3.68678	3.72571	3.79854	3.7834800000000004	3.8031900000000003	3.5901	3.61705	4.12493	3.8386	4.13248	3.55876	3.36979	3.68034	3.5480699999999996	3.6742800000000004	3.65055	3.49549	3.60405	3.60152
TPRG1L	7.088660000000001	7.23487	7.11366	7.132560000000001	6.91252	6.883719999999999	6.6326	6.81885	6.82302	7.6325899999999995	6.6175	7.09324	7.21386	6.59271	7.00294	7.419060000000001	7.00334	7.231380000000001	7.2445699999999995	7.168189999999999	6.8977699999999995
TP73	4.464180000000001	4.49696	4.30483	4.6974800000000005	4.45052	4.55818	4.19897	4.4621	4.19709	4.76526	4.41728	5.24383	4.2087	4.35856	4.3522	4.50855	4.63272	4.65503	4.65906	4.56109	4.48169
CCDC27	3.52481	3.55999	3.4426699999999997	3.69804	3.57709	3.6519699999999995	3.55999	3.5932699999999995	3.3873800000000003	3.65639	3.4332	3.82059	3.23862	3.3700099999999997	3.60817	3.55999	3.65956	3.6703900000000003	3.36712	3.5397800000000004	3.55999
DFFB	4.7443800000000005	4.97133	4.9697	4.8175	4.93154	4.92213	4.87961	4.96929	4.7208	4.0075199999999995	4.7803	4.85749	4.634469999999999	4.86179	4.84431	4.77539	4.73519	4.87976	4.87598	4.88295	4.545319999999999
AJAP1	2.7046799999999998	2.75238	2.7489	2.72968	2.7810900000000003	3.11279	2.96423	2.77208	2.82461	2.6006400000000003	2.87235	2.98431	2.91688	2.42497	2.79125	2.48169	3.11662	2.8031	2.69751	2.48624	2.95094
KCNAB2	7.7492600000000005	7.881139999999999	7.955660000000001	7.508710000000001	7.742000000000001	7.80817	7.822760000000001	7.36689	7.636139999999999	7.205080000000001	7.86263	6.696739999999999	7.7611300000000005	7.82362	7.93433	7.72013	7.94295	7.83931	7.35653	7.608410000000001	7.9207600000000005
RNF207	4.61308	4.47085	4.71011	4.58725	4.57009	4.605659999999999	4.331919999999999	4.46197	4.66297	4.82662	4.57009	4.9248	4.43923	4.4370400000000005	4.33852	4.29349	4.73917	4.70355	4.57009	4.661969999999999	4.440519999999999
RNF207	4.2136	4.676769999999999	4.33036	4.171819999999999	4.221019999999999	4.0825	4.15891	4.25321	4.16704	4.272	4.1721699999999995	4.08228	3.9500300000000004	4.00956	4.21379	4.10687	4.073919999999999	4.277909999999999	4.073580000000001	4.37528	4.17131
